Z  	N  	halflife           	decayMode
28	31	2398000000000	EC      
28	32	infinity                 	        
28	33	infinity                 	        
28	34	infinity                 	        
28	35	3194000000	B-      
28	36	infinity                 	        
28	37	9063	B-      
28	38	196560	B-      
28	39	21	B-      
28	40	29	B-      
28	40	0.00086	IT      
28	41	11.2	B-      
28	41	3.5	B-      
28	42	6	B-      
28	43	2.56	B-      
28	43	2.3	B-      
28	44	1.57	B-      
28	45	0.84	B-      
28	46	0.68	B-      
28	46	0.68	BN      
28	47	0.344	B-      
28	47	0.344	BN      
28	48	0.238	B-      
28	48	0.238	BN      
28	49	0.128	BN      
28	49	0.128	B-      
28	50	0.11	B-      
28	50	0.11	BN      
28	51	0.000000635	B-      
28	51	0.000000635	BN      
28	51	0.000000635	B2N     
29	23	                         	P       
29	24	0.0000003	EC      
29	24	0.0000003	P       
29	25	0.000000075	P       
29	26	0.027	EP      
29	26	0.027	EC      
29	27	0.093	EC      
29	27	0.093	EP      
29	28	0.196	EC      
29	29	3.204	EC      
29	30	81.5	EC      
29	31	1422	EC      
29	32	11998.8	EC      
29	33	580.38	EC      
29	34	infinity                 	        
29	35	45723.6	B-      
29	35	45723.6	EC      
29	36	infinity                 	        
29	37	307.2	B-      
29	38	222588	B-      
29	39	30.9	B-      
29	39	225	IT      
29	39	225	B-      
29	40	171	B-      
29	41	44.5	B-      
29	41	33	IT      
29	41	33	B-      
29	41	6.6	B-      
29	41	6.6	IT      
29	42	19.4	B-      
29	43	6.63	B-      
29	44	4.2	B-      
29	45	1.594	B-      
29	46	1.222	B-      
29	46	1.222	BN      
29	47	0.637	B-      
29	47	0.637	BN      
29	47	1.27	B-      
29	48	0.468	B-      
29	48	0.468	BN      
29	49	0.335	B-      
29	49	0.335	BN      
29	50	0.188	B-      
29	50	0.188	BN      
29	51	0.17	B-      
29	52	0.000000632	B-      
29	52	0.000000632	B2N     
29	52	0.000000632	BN      
29	53	0.000000636	B-      
29	53	0.000000636	BN      
29	53	0.000000636	B2N     
30	24	0.00159	2P      
30	25	0.0198	EC      
30	25	0.0198	EP      
30	26	0.03	EC      
30	26	0.03	EP      
30	27	0.038	EC      
30	27	0.038	EP      
30	28	0.086	EC      
30	28	0.086	EP      
30	29	0.182	EC      
30	29	0.182	EP      
30	30	142.8	EC      
30	31	89.1	EC      
30	31	0.43	IT      
30	31	0.14	IT      
30	31	0.13	IT      
30	32	33069.6	EC      
30	33	2308.2	EC      
30	34	22090000000000000000000000000	2EC     
30	35	21080000	EC      
30	36	infinity                 	        
30	37	infinity                 	        
30	38	infinity                 	        
30	39	3384	B-      
30	39	49536	IT      
30	39	49536	B-      
30	40	7258000000000000000000000	2B-     
30	41	147	B-      
30	41	14256	IT      
30	41	14256	B-      
30	42	167400	B-      
30	43	23.5	B-      
30	43	5.8	B-      
30	43	5.8	IT      
30	43	0.013	IT      
30	44	95.6	B-      
30	45	10.2	B-      
30	46	5.7	B-      
30	47	2.08	B-      
30	47	1.05	IT      
30	47	1.05	B-      
30	48	1.47	B-      
30	49	0.995	B-      
30	49	0.995	BN      
30	50	0.54	B-      
30	50	0.54	BN      
30	51	0.304	B-      
30	51	0.304	BN      
30	52	0.00000015	B-      
30	53	0.0000003	BN      
30	53	0.0000003	B-      
30	54	0.000000633	B-      
30	54	0.000000633	B2N     
30	54	0.000000633	BN      
30	55	0.000000637	B-      
30	55	0.000000637	BN      
30	55	0.000000637	B2N     
31	25	                         	P       
31	26	                         	P       
31	27	                         	P       
31	28	                         	P       
31	29	0.07	EC      
31	29	0.07	EP      
31	29	0.07	EA      
31	30	0.167	EC      
31	30	0.167	EP      
31	31	0.116	EC      
31	31	0.116	EP      
31	32	32.4	EC      
31	33	157.62	EC      
31	34	912	EC      
31	35	34164	EC      
31	36	281810.88	EC      
31	37	4062.6	EC      
31	38	infinity                 	        
31	39	1268.4	B-      
31	39	1268.4	EC      
31	40	infinity                 	        
31	41	50760	B-      
31	42	17496	B-      
31	43	487.2	B-      
31	43	9.5	B-      
31	43	9.5	IT      
31	44	126	B-      
31	45	32.6	B-      
31	46	13.2	B-      
31	47	5.09	B-      
31	48	2.847	B-      
31	48	2.847	BN      
31	49	1.676	B-      
31	49	1.676	BN      
31	50	1.217	B-      
31	50	1.217	BN      
31	51	0.599	B-      
31	51	0.599	BN      
31	52	0.308	B-      
31	52	0.308	BN      
31	53	0.085	B-      
31	53	0.085	BN      
31	53	0.085	B-      
31	53	0.085	BN      
31	54	0.1	B-      
31	54	0.1	BN      
31	55	0.00000015	B-      
31	55	0.00000015	BN      
31	56	0.000000634	B-      
31	56	0.000000634	BN      
31	56	0.000000634	B2N     
32	26	                         	2P      
32	27	                         	2P      
32	28	0.00000011	EP      
32	28	0.00000011	EC      
32	29	0.044	EC      
32	29	0.044	EP      
32	30	0.129	EC      
32	30	0.129	EP      
32	31	0.15	EC      
32	32	63.7	EC      
32	33	30.9	EC      
32	33	30.9	EP      
32	34	8135.1	EC      
32	35	1134	EC      
32	36	23410000	EC      
32	37	140580	EC      
32	38	infinity                 	        
32	39	987552	EC      
32	39	0.0204	IT      
32	40	infinity                 	        
32	41	infinity                 	        
32	41	0.499	IT      
32	42	infinity                 	        
32	43	4966.8	B-      
