71	174.9668	Lutetium	Lu	
72	178.49	Hafnium	Hf	
73	180.94788	Tantalum	Ta	Named after Tantalus, like tantalising
74	183.84	Tungsten	W	The metal with the highest melting point
75	186.207	Rhenium	Re	
76	190.23	Osmium	Os	
77	192.217	Iridium	Ir	Named after rainbows
78	192.084	Platinum	Pt	Perhaps the only metal less reactive than gold
79	196.966569	Gold	Au	Shiny
80	200.59	Mercury	Hg	The only metal that's liquid at room temperature
81	204.3833	Thallium	Tl	
82	207.2	Lead	Pb	Widely blamed for Caligula having a horse in his cabinet
83	208.980401	Bismuth	Bi	
84	210	Polonium	Po	
85	210	Astatine	At	Very reactive, but so radioactive you'd hardly know it
86	220	Radon	Rn	Radioactive but chemically inert gas
87	223	Francium	Fr	
88	226	Radium	Ra	Discovered by the Curies, named for its radioactivity
89	227	Actinium	Ac	Radioactive element named after rays
90	232.03806	Thorium	Th	Could be the future of nuclear power
91	231.03588	Protactinium	Pa	Parent of actinium'
92	238.02891	Uranium	U	Currently the source of almost all our nuclear power
93	237	Neptunium	Np	Radioactive element named the planet Neptune
94	244	Plutonium	Pu	Handy if you want to make a nuclear bomb
95	243	Americium	Am	
96	247	Curium	Cm	After Marie and Pierre Curie, discoverers of radioactivity
97	247	Berkelium	Bk	
98	251	Californium	Cf	
99	252	Einsteinium	Es	
100	257	Fermium	Fm	
101	258	Mendelevium	Md	After Mendeleev, who invented the periodic table
102	259	Nobelium	No	
103	262	Lawrencium	Lr	
104	261	Rutherfordium	Rf	
105	262	Dubnium	Db	
106	266	Seaborgium	Sg	
107	264	Bohrium	Bh	Nils Bohr was one of the founders of quantum mechanics
108	277	Hassium	Hs	
109	268	Meitnerium	Mt	
110	271	Ununnilium	Ds	
111	272	Unununium	Rg	
112	285	Ununbium	Uub	
113	284	Ununtrium	Uut	1-1-3-ium, the lightest element not to have a proper name
114	289	Ununquadium	Uuq	As of 2014, about 80 atoms of this have been made
115	288	Ununpentium	Uup	First created in 2005, for about quarter of a second
116	292	Ununhexium	Uuh	The heaviest element to have received a proper name
117	293	Ununseptium	Uus	
118	294	Ununoctium	Uuo	These are the only ones of which the news has come to Harvard.
